Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
32717110,6/22/2017 19:23,6/22/2017 19:26,70030,191,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
32717274,6/22/2017 19:32,6/22/2017 19:51,70188,1148,1021,Taylor St & Liberty Ave,1009,12th St & Penn Ave,Customer
32717290,6/22/2017 19:33,6/22/2017 20:44,70030,4270,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
32717314,6/22/2017 19:34,6/22/2017 20:31,70498,3392,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Customer
32717359,6/22/2017 19:38,6/22/2017 20:51,70354,4404,1015,Federal St & E North Ave,1017,21st St & Penn Ave,Customer
32717391,6/22/2017 19:40,6/22/2017 19:47,70301,402,1034,Ellsworth Ave & N Neville St,1023,Liberty Ave & Baum Blvd,Subscriber
32717464,6/22/2017 19:44,6/22/2017 19:46,70263,115,1037,Frew St & Schenley Dr,1037,Frew St & Schenley Dr,Subscriber
32717470,6/22/2017 19:45,6/22/2017 19:54,70258,547,1005,Forbes Ave & Grant St,1048,S 18th St & Sidney St,Customer
32717501,6/22/2017 19:47,6/22/2017 20:04,70197,993,1037,Frew St & Schenley Dr,1024,S Negley Ave & Baum Blvd,Subscriber
32717568,6/22/2017 19:52,6/22/2017 20:28,70066,2170,1041,Fifth Ave & S Bouquet St,1041,Fifth Ave & S Bouquet St,Customer
32717576,6/22/2017 19:52,6/22/2017 20:15,70080,1344,1032,Walnut St & College St,1032,Walnut St & College St,Customer
32717589,6/22/2017 19:53,6/22/2017 20:16,70161,1387,1032,Walnut St & College St,1032,Walnut St & College St,Customer
32717605,6/22/2017 19:55,6/22/2017 20:15,70398,1179,1032,Walnut St & College St,1032,Walnut St & College St,Customer
32717610,6/22/2017 19:55,6/22/2017 21:25,70317,5375,1061,33rd St and Penn Ave,1001,Forbes Ave & Market Square,Customer
32717611,6/22/2017 19:56,6/22/2017 21:26,70350,5450,1015,Federal St & E North Ave,1001,Forbes Ave & Market Square,Customer
32717629,6/22/2017 19:58,6/22/2017 20:15,70085,1046,1032,Walnut St & College St,1032,Walnut St & College St,Customer
32717753,6/22/2017 20:06,6/23/2017 9:53,70390,49637,1017,21st St & Penn Ave,1019,42nd St & Butler St,Customer
32717820,6/22/2017 20:10,6/22/2017 20:52,70283,2504,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
32717885,6/22/2017 20:16,6/22/2017 20:23,70452,363,1037,Frew St & Schenley Dr,1035,Fifth Ave & S Dithridge St,Subscriber
32717895,6/22/2017 20:17,6/22/2017 20:48,70161,1892,1032,Walnut St & College St,1035,Fifth Ave & S Dithridge St,Customer
32717914,6/22/2017 20:18,6/22/2017 20:49,70080,1839,1032,Walnut St & College St,1035,Fifth Ave & S Dithridge St,Customer
32718067,6/22/2017 20:32,6/22/2017 20:39,70231,415,1024,S Negley Ave & Baum Blvd,1032,Walnut St & College St,Subscriber
